Rg1,Rg2,Rg3,Erro
0.01,0.03,0.19,0.09369911193847594
0.01,0.03,0.2,0.09381037394205667
0.01,0.04,0.01,0.09104598999023375
0.01,0.04,0.02,0.09120684305826761
0.01,0.04,0.03,0.09136515299479105
0.01,0.04,0.04,0.09151837666829366
0.01,0.04,0.05,0.09166842142740823
0.01,0.04,0.06,0.09181401570637959
0.01,0.04,0.07,0.09195833841959573
0.01,0.04,0.08,0.09209884643554625
0.01,0.04,0.09,0.09223490397135355
0.01,0.04,0.1,0.09236968994140562
0.01,0.04,0.11,0.09250129699706969
0.01,0.04,0.12,0.09263099670410094
0.01,0.04,0.13,0.09275751749674417
0.01,0.04,0.14,0.09288276672363219
0.01,0.04,0.15,0.0930054728190098
0.01,0.04,0.16,0.09312436421712178
0.01,0.04,0.17,0.09324325561523375
0.01,0.04,0.18,0.09335833231608011
0.01,0.04,0.19,0.09347150166829366
0.01,0.04,0.2,0.09358467102050719
0.01,0.05,0.01,0.09080693562825459
0.01,0.05,0.02,0.09097096761067647
0.01,0.05,0.03,0.0911286417643223
0.01,0.05,0.04,0.09128313700358011
0.01,0.05,0.05,0.0914344533284499
0.01,0.05,0.06,0.09158195495605406
0.01,0.05,0.07,0.09172627766927022
0.01,0.05,0.08,0.09186869303385355
0.01,0.05,0.09,0.09200602213541605
0.01,0.05,0.1,0.09214144388834573
0.01,0.05,0.11,0.092274322509765
0.01,0.05,0.12,0.09240465799967386
0.01,0.05,0.13,0.09253181457519469
0.01,0.05,0.14,0.09265769958496031
0.01,0.05,0.15,0.09278104146321553
0.01,0.05,0.16,0.09290056864420511
0.01,0.05,0.17,0.09302009582519469
0.01,0.05,0.18,0.09313644409179625
0.01,0.05,0.19,0.093250885009765
0.01,0.05,0.2,0.09336341857910094
0.01,0.06,0.01,0.09057551066080667
0.01,0.06,0.02,0.09073954264322855
0.01,0.06,0.03,0.09089912414550719
0.01,0.06,0.04,0.09105489095052022
0.01,0.06,0.05,0.09120684305826761
0.01,0.06,0.06,0.09135625203450459
0.01,0.06,0.07,0.09150121053059834
0.01,0.06,0.08,0.09164362589518167
0.01,0.06,0.09,0.09178286234537698
0.01,0.06,0.1,0.09191891988118428
0.01,0.06,0.11,0.09205307006835875
0.01,0.06,0.12,0.09218340555826761
0.01,0.06,0.13,0.09231246948242125
0.01,0.06,0.14,0.09243771870930928
0.01,0.06,0.15,0.09256169637044209
0.01,0.06,0.16,0.09268376668294209
0.01,0.06,0.17,0.09280265808105406
0.01,0.06,0.18,0.09292027791341084
0.01,0.06,0.19,0.0930359903971348
0.01,0.06,0.2,0.09314915974934834
0.01,0.07,0.01,0.09034980773925719
0.01,0.07,0.02,0.09051447550455667
0.01,0.07,0.03,0.09067532857259053
0.01,0.07,0.04,0.09083236694335875
0.01,0.07,0.05,0.09098559061686136
0.01,0.07,0.06,0.09113499959309834
0.01,0.07,0.07,0.0912818654378249
0.01,0.07,0.08,0.09142428080240823
0.01,0.07,0.09,0.09156415303548116
0.01,0.07,0.1,0.09170084635416605
0.01,0.07,0.11,0.09183626810709573
0.01,0.07,0.12,0.09196723937988219
0.01,0.07,0.13,0.09209693908691344
0.01,0.07,0.14,0.09222409566243428
0.01,0.07,0.15,0.0923493448893223
0.01,0.07,0.16,0.09247014363606709
0.01,0.07,0.17,0.09259094238281187
